Tabela;Coluna;Tipo;Nullable;Default;Constraint;Comentário;Linhas Tabela;Posição;
ATU_ERROS;ID;NUMBER(10,0);NOT NULL;;PK;;32;1;
ATU_ERROS;ERRO;VARCHAR2(100);NOT NULL;;;;32;2;
ATU_ERROS;DESCRICAO;VARCHAR2(4000);NULL;;;;32;3;
ATU_ERROS;ACAO;VARCHAR2(100);NOT NULL;;;;32;4;
ATU_PARAMETROS;ID;NUMBER(10,0);NOT NULL;;PK;;10;1;
ATU_PARAMETROS;SEQ;NUMBER(10,0);NOT NULL;;;;10;2;
ATU_PARAMETROS;DESCRICAO;VARCHAR2(300);NOT NULL;;;;10;3;
ATU_PARAMETROS;RESPOSTA;VARCHAR2(500);NULL;;;;10;4;
ATU_PARAMETROS;MNEMONICO;VARCHAR2(200);NOT NULL;;;;10;5;
ATU_PARAMETROS;AJUDA;VARCHAR2(4000);NULL;;;;10;6;
ATU_VALIDA_MODELO;USUARIO;VARCHAR2(40);NULL;;;;51988;1;
ATU_VALIDA_MODELO;SEQUENCIA;NUMBER(10,0);NULL;;;;51988;2;
ATU_VALIDA_MODELO;TIPO;VARCHAR2(400);NULL;;;;51988;3;
ATU_VALIDA_MODELO;ANEXO;VARCHAR2(400);NULL;;;;51988;4;
ATU_VALIDA_MODELO;OBJETO;VARCHAR2(800);NULL;;;;51988;5;
ATU_VALIDA_MODELO;COLUNA;VARCHAR2(400);NULL;;;;51988;6;
ATU_VALIDA_MODELO;COMANDO;VARCHAR2(4000);NULL;;;;51988;7;
ATU_VALIDA_MODELO;COMANDO_ATU;VARCHAR2(100);NULL;;;;51988;8;
ATU_VALIDA_MODELO;SESSAO;NUMBER;NULL;;;;51988;9;
BCKP_THIST_MOV_CR_250121;ID;NUMBER(10,0);NOT NULL;;;;285;1;
BCKP_THIST_MOV_CR_250121;DT_CONTABIL;DATE;NOT NULL;;;;285;2;
BCKP_THIST_MOV_CR_250121;DT_MOV;DATE;NOT NULL;;;;285;3;
BCKP_THIST_MOV_CR_250121;DT_SIST;DATE;NOT NULL;;;;285;4;
BCKP_THIST_MOV_CR_250121;SEQ;NUMBER(4,0);NOT NULL;;;;285;5;
BCKP_THIST_MOV_CR_250121;VLR_AB;NUMBER(17,8);NOT NULL;;;;285;6;
BCKP_THIST_MOV_CR_250121;VLR_DESC;NUMBER(17,8);NULL;;;;285;7;
BCKP_THIST_MOV_CR_250121;VLR_JURO;NUMBER(17,8);NULL;;;;285;8;
BCKP_THIST_MOV_CR_250121;VLR_MOV;NUMBER(17,8);NOT NULL;;;;285;9;
BCKP_THIST_MOV_CR_250121;TIT_CR_ID;NUMBER(10,0);NOT NULL;;;;285;10;
BCKP_THIST_MOV_CR_250121;TTP_CR_ID;NUMBER(10,0);NOT NULL;;;;285;11;
BCKP_THIST_MOV_CR_250121;HISTORICO;VARCHAR2(60);NOT NULL;;;;285;12;
BCKP_THIST_MOV_CR_250121;POR_ID;NUMBER(10,0);NOT NULL;;;;285;13;
BCKP_THIST_MOV_CR_250121;ATRASO;NUMBER(5,0);NULL;;;;285;14;
BCKP_THIST_MOV_CR_250121;DESP_CARTORIO;NUMBER(17,8);NULL;;;;285;15;
BCKP_THIST_MOV_CR_250121;DT_PGTO_COMIS;DATE;NULL;;;;285;16;
BCKP_THIST_MOV_CR_250121;VLR_OUT_DESP;NUMBER(17,8);NULL;;;;285;17;
BCKP_THIST_MOV_CR_250121;VLR_MULTA;NUMBER(17,8);NULL;;;;285;18;
